Planet ID: 199
X: 8949285.894270694 km
Y: 45034596.95617443 km
Z: 2859686.412438402 km
VX: -57.54706332882775 km/sec
VY: 11.30159921346736 km/sec
VZ: 6.201484110408704 km/sec
LT: 153.4533495473609 sec
RG: 46004156.84913649 km
RR: 0.254154060885654 km/sec
---------------------------------
Planet ID: 299
X: 102423916.2841454 km
Y: -36265506.81394282 km
Z: -6408205.924153563 km
VX: 11.50084239348589 km/sec
VY: 32.86076650886838 km/sec
VZ: -0.2119708770324653 km/sec
LT: 363.0628853337158 sec
RG: 108843514.8027668 km
RR: -0.1138577730029207 km/sec
---------------------------------
Planet ID: 399
X: -107755616.0631709 km
Y: -105601884.1884844 km
Z: 6884.604447290301 km
VX: 20.37264126584044 km/sec
VY: -21.39771836953437 km/sec
VZ: 0.001035791178860102 km/sec
LT: 503.2622326238788 sec
RG: 150874221.7368804 km
RR: 0.426665822117949 km/sec
---------------------------------
Planet ID: 499
X: -245997927.0340512 km
Y: -14053415.89757982 km
Z: 5736590.661548831 km
VX: 2.283035813082709 km/sec
VY: -22.11840429012925 km/sec
VZ: -0.519568522568651 km/sec
LT: 822.1213921006624 sec
RG: 246465792.9122394 km
RR: -1.029609390491796 km/sec
---------------------------------
Planet ID: 599
X: -682672088.8313614 km
Y: 423493510.7880251 km
Z: 13514761.26062199 km
VX: -7.045427150904859 km/sec
VY: -10.50122135636642 km/sec
VZ: 0.2013201616805209 km/sec
LT: 2680.101016227815 sec
RG: 803474071.3432344 km
RR: 0.4545736782259427 km/sec
---------------------------------
Planet ID: 699
X: 1329891458.815104 km
Y: 438625936.0025046 km
Z: -60577209.06236228 km
VX: -3.558173396794711 km/sec
VY: 9.147790937036886 km/sec
VZ: -0.01800222759675218 km/sec
LT: 4675.46168162943 sec
RG: 1401668149.8205 km
RR: -0.5125574999008617 km/sec
---------------------------------
Planet ID: 799
X: 1220519964.206498 km
Y: 2633356239.182124 km
Z: -6044793.407161951 km
VX: -6.236236045339848 km/sec
VY: 2.53980019084085 km/sec
VZ: 0.09039191575479588 km/sec
LT: 9681.562456988408 sec
RG: 2902459406.261074 km
RR: -0.3182812184998678 km/sec
---------------------------------
Planet ID: 899
X: 4456949986.953186 km
Y: 308471432.4380584 km
Z: -109063631.3567725 km
VX: -0.4181328719916526 km/sec
VY: 5.447552674929726 km/sec
VZ: -0.1027132843379921 km/sec
LT: 14906.78971178082 sec
RG: 4468943128.583884 km
RR: -0.03848351449631444 km/sec
---------------------------------
